#  Table WFC3.IR.G102.1st.sens.2.fits[1]  Tue 03:24:08 11-Jan-2011

# row      WAVELENGTH     SENSITIVITY           ERROR
#                                                    

    1           7450.              0.              0.
    2           7451.              0.              0.
    3           7452.              0.              0.
    4           7453.     5.624466E12     2.496978E12
    5           7454.     5.841492E12     2.614303E12
    6           7455.     6.053849E12     2.731080E12
    7           7456.     6.261538E12     2.847259E12
    8           7457.     6.464559E12     2.962791E12
    9           7458.     6.662911E12     3.077625E12
   10           7459.     6.856595E12     3.191709E12
   11           7460.     7.045611E12     3.304995E12
   12           7461.     7.229959E12     3.417432E12
   13           7462.     7.409638E12     3.528970E12
   14           7463.     7.584650E12     3.639558E12
   15           7464.     7.731251E12     3.729803E12
   16           7465.     7.871286E12     3.817619E12
   17           7466.     8.004753E12     3.902952E12
   18           7467.     8.131652E12     3.985754E12
   19           7468.     8.251984E12     4.065973E12
   20           7469.     8.365749E12     4.143558E12
   21           7470.     8.472947E12     4.218459E12
   22           7471.     8.573575E12     4.290625E12
   23           7472.     8.667637E12     4.360005E12
   24           7473.     8.755131E12     4.426550E12
   25           7474.     8.836058E12     4.490207E12
   26           7475.     8.910417E12     4.550926E12
   27           7476.     8.978210E12     4.608657E12
   28           7477.     9.039434E12     4.663349E12
   29           7478.     9.094091E12     4.714951E12
   30           7479.     9.142180E12     4.763412E12
   31           7480.     9.183701E12     4.808681E12
   32           7481.     9.218657E12     4.850710E12
   33           7482.     9.247043E12     4.889445E12
   34           7483.     9.268862E12     4.924837E12
   35           7484.     9.284114E12     4.956835E12
   36           7485.     9.292798E12     4.985389E12
   37           7486.     9.294915E12     5.010445E12
   38           7487.     9.290464E12     5.031957E12
   39           7488.     9.407344E12     5.109856E12
   40           7489.     9.527887E12     5.190113E12
   41           7490.     9.652095E12     5.272746E12
   42           7491.     9.779969E12     5.357772E12
   43           7492.     9.911505E12     5.445207E12
   44           7493.     1.004671E13     5.535070E12
   45           7494.     1.018557E13     5.627377E12
   46           7495.     1.032810E13     5.722144E12
   47           7496.     1.047429E13     5.819390E12
   48           7497.     1.062416E13     5.919132E12
   49           7498.     1.077768E13     6.021384E12
   50           7499.     1.093487E13     6.126167E12
   51           7500.     1.109572E13     6.233495E12
   52           7501.     1.126023E13     6.343387E12
   53           7502.     1.142841E13     6.455860E12
   54           7503.     1.160026E13     6.570930E12
   55           7504.     1.177576E13     6.688613E12
   56           7505.     1.195494E13     6.808929E12
   57           7506.     1.213777E13     6.931894E12
