#  Table WFC3.IR.G141.1st.sens.2.fits[1]  Tue 03:23:23 11-Jan-2011

# row      WAVELENGTH     SENSITIVITY           ERROR
#                                                    

  150          10099.     5.269350E13     4.705470E13
  151          10100.     5.273606E13     4.710290E13
  152          10101.     5.280247E13     4.705786E13
  153          10102.     5.286810E13     4.701186E13
  154          10103.     5.293295E13     4.696490E13
  155          10104.     5.299701E13     4.691700E13
  156          10105.     5.306029E13     4.686814E13
  157          10106.     5.312277E13     4.681834E13
  158          10107.     5.318448E13     4.676761E13
  159          10108.     5.324540E13     4.671595E13
  160          10109.     5.330553E13     4.666335E13
  161          10110.     5.336488E13     4.660984E13
  162          10111.     5.342345E13     4.655540E13
  163          10112.     5.348122E13     4.650005E13
  164          10113.     5.353821E13     4.644379E13
  165          10114.     5.359442E13     4.638662E13
  166          10115.     5.364984E13     4.632856E13
  167          10116.     5.370448E13     4.626960E13
  168          10117.     5.375833E13     4.620975E13
  169          10118.     5.381140E13     4.614901E13
  170          10119.     5.386369E13     4.608739E13
  171          10120.     5.391519E13     4.602490E13
  172          10121.     5.396589E13     4.596153E13
  173          10122.     5.401582E13     4.589730E13
  174          10123.     5.406496E13     4.583220E13
  175          10124.     5.411332E13     4.576624E13
  176          10125.     5.416090E13     4.569943E13
  177          10126.     5.420768E13     4.563177E13
  178          10127.     5.425368E13     4.556327E13
  179          10128.     5.429890E13     4.549393E13
  180          10129.     5.434333E13     4.542375E13
  181          10130.     5.438697E13     4.535274E13
  182          10131.     5.442984E13     4.528090E13
  183          10132.     5.447191E13     4.520825E13
  184          10133.     5.451320E13     4.513478E13
  185          10134.     5.455371E13     4.506049E13
  186          10135.     5.459343E13     4.498540E13
  187          10136.     5.463237E13     4.490951E13
  188          10137.     5.467052E13     4.483282E13
  189          10138.     5.470788E13     4.475533E13
  190          10139.     5.474447E13     4.467707E13
  191          10140.     5.478026E13     4.459801E13
  192          10141.     5.481526E13     4.451817E13
  193          10142.     5.484949E13     4.443756E13
  194          10143.     5.488293E13     4.435618E13
  195          10144.     5.491559E13     4.427404E13
  196          10145.     5.494746E13     4.419114E13
  197          10146.     5.497854E13     4.410747E13
  198          10147.     5.504702E13     4.400885E13
  199          10148.     5.515534E13     4.389672E13
  200          10149.     5.526612E13     4.378576E13
  201          10150.     5.537936E13     4.367594E13
  202          10151.     5.549507E13     4.356725E13
  203          10152.     5.561325E13     4.345965E13
  204          10153.     5.573389E13     4.335311E13
  205          10154.     5.585699E13     4.324761E13
  206          10155.     5.598255E13     4.314312E13
  207          10156.     5.611058E13     4.303962E13
  208          10157.     5.624108E13     4.293707E13
  209          10158.     5.637404E13     4.283547E13
  210          10159.     5.650947E13     4.273477E13
  211          10160.     5.664736E13     4.263493E13
  212          10161.     5.678771E13     4.253596E13
  213          10162.     5.693053E13     4.243781E13
  214          10163.     5.707581E13     4.234046E13
  215          10164.     5.722356E13     4.224389E13
  216          10165.     5.737377E13     4.214805E13
  217          10166.     5.752645E13     4.205294E13
  218          10167.     5.768159E13     4.195853E13
  219          10168.     5.783919E13     4.186477E13
  220          10169.     5.799926E13     4.177165E13
  221          10170.     5.816180E13     4.167916E13
  222          10171.     5.832679E13     4.158724E13
  223          10172.     5.849425E13     4.149588E13
  224          10173.     5.866418E13     4.140505E13
  225          10174.     5.883657E13     4.131474E13
  226          10175.     5.901143E13     4.122490E13
  227          10176.     5.918875E13     4.113551E13
  228          10177.     5.936854E13     4.104656E13
  229          10178.     5.955079E13     4.095800E13
  230          10179.     5.973550E13     4.086981E13
  231          10180.     5.992268E13     4.078197E13
  232          10181.     6.011232E13     4.069445E13
  233          10182.     6.030443E13     4.060722E13
  234          10183.     6.049900E13     4.052025E13
  235          10184.     6.069603E13     4.043353E13
  236          10185.     6.089553E13     4.034702E13
  237          10186.     6.109750E13     4.026070E13
  238          10187.     6.130193E13     4.017454E13
  239          10188.     6.150883E13     4.008850E13
  240          10189.     6.171818E13     4.000257E13
  241          10190.     6.193000E13     3.991673E13
  242          10191.     6.214429E13     3.983094E13
  243          10192.     6.236105E13     3.974517E13
  244          10193.     6.258026E13     3.965941E13
  245          10194.     6.287736E13     3.958719E13
  246          10195.     6.318012E13     3.951604E13
  247          10196.     6.348850E13     3.944588E13
  248          10197.     6.380253E13     3.937665E13
  249          10198.     6.412220E13     3.930828E13
  250          10199.     6.444751E13     3.924069E13
  251          10200.     6.477847E13     3.917382E13
  252          10201.     6.511506E13     3.910759E13
  253          10202.     6.545729E13     3.904194E13
  254          10203.     6.580517E13     3.897679E13
  255          10204.     6.615867E13     3.891208E13
  256          10205.     6.651782E13     3.884773E13
  257          10206.     6.688262E13     3.878368E13
  258          10207.     6.725305E13     3.871985E13
  259          10208.     6.762913E13     3.865617E13
